Group Code,Group Name,Class Code,Class Name,Position Code,Position Name,Subposition Code,Subposition Name,MXIK Code,MXIK Name,Fetched At
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199003,"Qushlar",00199003001,"To’tiqushlar",00199003001000000,"Final code for 00199003001",2025-08-13T20:20:56.770Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199003,"Qushlar",00199003002,"Tovuslar",00199003002000000,"Final code for 00199003002",2025-08-13T20:20:57.092Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199003,"Qushlar",00199003003,"Oltin tustovuqlar",00199003003000000,"Final code for 00199003003",2025-08-13T20:20:57.404Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199003,"Qushlar",00199003004,"Tuyaqushlar",00199003004000000,"Final code for 00199003004",2025-08-13T20:20:57.712Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199003,"Qushlar",00199003006,"Lochinlar",00199003006000000,"Final code for 00199003006",2025-08-13T20:20:58.029Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199003,"Qushlar",00199003007,"Amadinalar",00199003007000000,"Final code for 00199003007",2025-08-13T20:20:58.339Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199003,"Qushlar",00199003008,"Kakliklar",00199003008000000,"Final code for 00199003008",2025-08-13T20:20:58.654Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199003,"Qushlar",00199003009,"Bedana",00199003009000000,"Final code for 00199003009",2025-08-13T20:20:58.967Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199003,"Qushlar",00199003011,"Boshqa parrandalar",00199003011000000,"Final code for 00199003011",2025-08-13T20:20:59.285Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199008,"Sutemizuvchilar",00199008001,"Tirik tuyalar va tuya oilasiga kiruvchi boshqa hayvonlar",00199008001000000,"Final code for 00199008001",2025-08-13T20:20:59.740Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199008,"Sutemizuvchilar",00199008002,"Tirik tuyalar (so’yish vaznida)",00199008002000000,"Final code for 00199008002",2025-08-13T20:21:00.069Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199008,"Sutemizuvchilar",00199008003,"Quyonlar",00199008003000000,"Final code for 00199008003",2025-08-13T20:21:00.414Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199008,"Sutemizuvchilar",00199008004,"Sichqonlar",00199008004000000,"Final code for 00199008004",2025-08-13T20:21:00.804Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199008,"Sutemizuvchilar",00199008006,"Dengiz cho’chqalari",00199008006000000,"Final code for 00199008006",2025-08-13T20:21:01.111Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199008,"Sutemizuvchilar",00199008007,"Xomyaklar",00199008007000000,"Final code for 00199008007",2025-08-13T20:21:01.458Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199008,"Sutemizuvchilar",00199008008,"Itlar",00199008008000000,"Final code for 00199008008",2025-08-13T20:21:01.878Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199008,"Sutemizuvchilar",00199008009,"Yenotlar",00199008009000000,"Final code for 00199008009",2025-08-13T20:21:02.196Z
001,"TIRIK HAYVONLAR",00199,"Boshqa tirik hayvonlar",00199008,"Sutemizuvchilar",00199008013,"Boshqa sut emizuvchilar",00199008013000000,"Final code for 00199008013",2025-08-13T20:21:02.535Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00201,"Yangi, sovutilgan yoki muzlatilgan qoramol go’shti",00201001,"Yangi, sovutilgan yoki muzlatilgan lahm yirik qoramol go’shti",00201001001,"Sovutilgan lahm mol go’shti",00201001001000000,"Final code for 00201001001",2025-08-13T20:21:03.354Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00201,"Yangi, sovutilgan yoki muzlatilgan qoramol go’shti",00201001,"Yangi, sovutilgan yoki muzlatilgan lahm yirik qoramol go’shti",00201001002,"Muzlatilgan suyaksiz go’sht (mol go’shti)",00201001002000000,"Final code for 00201001002",2025-08-13T20:21:03.871Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00201,"Yangi, sovutilgan yoki muzlatilgan qoramol go’shti",00201001,"Yangi, sovutilgan yoki muzlatilgan lahm yirik qoramol go’shti",00201001003,"Muzlatilgan suyaksiz mol go’shti, maydalangan",00201001003000000,"Final code for 00201001003",2025-08-13T20:21:04.215Z
002,"GO’SHT VA GO’SHTLI OZIQ-OVQAT SUBMAHSULOTLARI",00201,"Yangi, sovutilgan yoki muzlatilgan qoramol go’shti",00201001,"Yangi, sovutilgan yoki muzlatilgan lahm yirik qoramol go’shti",00201001004,"Mol go’shtidan farsh",00201001004000000,"Final code for 00201001004",2025-08-13T20:21:04.543Z
